n,p1,p2,nq,q,k,path_length,converged
100,0.5431215481815791,0.1,400,0.0,2,0.0,1.0
100,0.5431215481815791,0.1,400,0.01,2,0.5515097384529771,1.0
100,0.5431215481815791,0.1,400,0.02,2,2.394879243183083,1.0
100,0.5431215481815791,0.1,400,0.03,2,2.2331930996104616,1.0
100,0.5431215481815791,0.1,400,0.04,2,2.111367835281024,1.0
100,0.5431215481815791,0.1,400,0.05,2,2.0202276015581524,1.0
100,0.5431215481815791,0.1,400,0.06,2,1.9632125765164161,0.6
100,0.5431215481815791,0.1,400,0.07,2,1.9248363939899833,0.0
100,0.5431215481815791,0.1,400,0.08,2,1.9025687256538675,0.0
100,0.5431215481815791,0.1,400,0.09,2,1.8872465219810795,0.0
100,0.5431215481815791,0.1,400,0.1,2,1.87667000556483,0.0
100,0.5431215481815791,0.1,400,0.11,2,1.8670756816917085,0.0
100,0.5431215481815791,0.1,400,0.12,2,1.8581630495269894,0.0
100,0.5431215481815791,0.1,400,0.13,2,1.8487846410684472,0.0
100,0.5431215481815791,0.1,400,0.14,2,1.8399955481357821,0.0
100,0.5431215481815791,0.1,400,0.15,2,1.8310717863105175,0.0
100,0.5431215481815791,0.1,400,0.16,2,1.8227250973845297,0.0
100,0.5431215481815791,0.1,400,0.17,2,1.81338898163606,0.0
100,0.5431215481815791,0.1,400,0.18,2,1.803929883138564,0.0
100,0.5431215481815791,0.1,400,0.19,2,1.7959821925431274,0.0
100,0.5431215481815791,0.1,400,0.2,2,1.786471897607123,0.0
100,0.5431215481815791,0.1,400,0.21,2,1.7777256538675572,0.0
100,0.5431215481815791,0.1,400,0.22,2,1.7693489148580965,0.0
100,0.5431215481815791,0.1,400,0.23,2,1.7596555370061213,0.0
100,0.5431215481815791,0.1,400,0.24,2,1.751373956594324,0.0
100,0.5431215481815791,0.1,400,0.25,2,1.7423889816360603,0.0
100,0.5431215481815791,0.1,400,0.26,2,1.7331519198664442,0.0
100,0.5431215481815791,0.1,400,0.27,2,1.7245102949360045,0.0
100,0.5431215481815791,0.1,400,0.28,2,1.716268224819143,0.0
100,0.5431215481815791,0.1,400,0.29,2,1.7066399554813578,0.0
100,0.5431215481815791,0.1,400,0.3,2,1.6974301613800775,0.0
100,0.5431215481815791,0.1,400,0.31,2,1.6889616026711185,0.0
100,0.5431215481815791,0.1,400,0.32,2,1.679781858653311,0.0
100,0.5431215481815791,0.1,400,0.33,2,1.6712337228714524,0.0
100,0.5431215481815791,0.1,400,0.34,2,1.6619237618252645,0.0
100,0.5431215481815791,0.1,400,0.35000000000000003,2,1.6530968280467444,0.0
100,0.5431215481815791,0.1,400,0.36,2,1.6449972175848635,0.0
100,0.5431215481815791,0.1,400,0.37,2,1.6352671118530886,0.0
100,0.5431215481815791,0.1,400,0.38,2,1.6266421814134666,0.0
100,0.5431215481815791,0.1,400,0.39,2,1.6178135781858654,0.0
100,0.5431215481815791,0.1,400,0.4,2,1.6092760155815249,0.0
100,0.5431215481815791,0.1,400,0.41000000000000003,2,1.5999321090706733,0.0
100,0.5431215481815791,0.1,400,0.42,2,1.59058041179744,0.0
100,0.5431215481815791,0.1,400,0.43,2,1.5819204229271004,0.0
100,0.5431215481815791,0.1,400,0.44,2,1.5728441847523649,0.0
100,0.5431215481815791,0.1,400,0.45,2,1.5637851975514745,0.0
100,0.5431215481815791,0.1,400,0.46,2,1.5550228158041182,0.0
100,0.5431215481815791,0.1,400,0.47000000000000003,2,1.5472493043962159,0.0
100,0.5431215481815791,0.1,400,0.48,2,1.5381174179187533,0.0
100,0.5431215481815791,0.1,400,0.49,2,1.5287178631051752,0.0
100,0.5431215481815791,0.1,400,0.5,2,1.519794101279911,0.0
